cph,x,y,infDay
298/0015,302615.0,568672.0,78
298/0017,304569.0,565819.0,93
298/0022,300440.0,570111.0,75
298/0030,302018.0,567134.0,74
298/0031,302018.0,567134.0,77
298/0032,299465.0,570580.0,72
298/0035,302035.0,565628.0,79
298/0036,304132.0,566476.0,94
299/0003,312305.0,575099.0,50
299/0004,309450.0,574090.0,71
299/0006,311320.0,570576.0,75
299/0009,310367.3769,573052.6272,88
299/0015,308151.395,575426.9542,55
299/0019,309218.0,571855.0,56
299/0024,309702.0,575508.0,78
299/0026,310422.0,571310.0,86
299/0031,312069.0,571447.0,81
299/0033,310048.0,571189.0,80
299/0036,310718.0,572229.0,77
300/0018,297734.0,574877.0,78
300/0019,298695.0,580686.0,76
300/0024,300021.0,572354.0,92
300/0030,298267.0,578814.0,77
300/0035,301395.0,571386.0,75
300/0048,300088.0,576176.0,73
300/0052,301942.0,575537.0,61
300/0082,298218.0,579417.0,72
300/0090,300908.0,575340.0,98
300/0105,299473.0,576928.0,62
300/0151,299233.0,574677.0,73
301/0007,307457.0,582993.0,94
301/0015,309906.0,576710.0,73
301/0024,308601.0,579691.0,78
301/0025,306333.0,581162.0,116
301/0026,307135.0,585031.0,89
301/0027,307476.0,583658.0,75
301/0033,307194.0,583065.0,92
301/0036,309505.0,576981.0,72
301/0048,307302.0,579687.0,73
301/0055,308573.1899,585396.3134,77
301/0056,307516.0,580915.0,89
301/0066,308771.0,579310.0,95
301/0067,305652.0,580240.0,75
301/0085,308246.0,584837.0,92
301/0089,308421.0,581105.0,75
301/0097,308320.0,586212.0,79
301/0098,307402.9214,578448.5252,60
301/0099,309276.0,582063.0,73
301/0104,306685.0,582376.0,80
301/0112,307004.0,584534.0,77
301/0123,307950.0,584556.0,71
301/0134,305891.0,580532.0,73
301/0139,309688.0,578030.0,86
301/0140,309407.0,577364.0,62
301/0145,307764.0,586890.0,95
301/0148,305354.0,576166.0,76
301/0156,305858.0,581443.0,78
301/0239,306424.0,583124.0,70
301/0245,308692.0,578665.0,109
302/0002,308148.6005,571204.6539,58
302/0005,306923.0,573034.0,82
302/0006,304881.0,575962.0,75
302/0007,306749.0,572638.0,61
302/0008,308061.0,572151.0,68
302/0010,306287.0,572013.0,70
302/0012,306491.0,573983.0,80
302/0013,308742.0,572015.0,77
302/0017,305293.0,573405.0,78
302/0018,306048.0,573390.0,85
302/0020,308480.0,571680.0,77
302/0022,306204.0,574615.0,79
302/0023,305886.0,571349.0,51
302/0024,306534.0,575105.0,92
302/0026,305780.0,574666.0,85
302/0027,309203.0,571388.0,117
302/0034,310125.0,571931.0,69
303/0005,306912.0,570722.0,79
303/0008,311945.0,568868.0,73
303/0009,309583.0,567477.0,72
303/0010,311425.0,567218.0,75
303/0012,304133.0,567700.0,75
303/0013,309377.0,569969.0,75
303/0015,310001.7931,569055.9684,69
303/0017,306004.0,567614.0,82
303/0018,310412.0,566050.0,86
303/0019,307738.0,568695.0,62
303/0020,310753.0,569605.0,98
303/0022,311246.0,568702.0,75
303/0028,307228.0,570332.0,71
303/0031,306135.0,567120.0,76
303/0032,307312.0,571035.0,78
303/0038,306597.0,569360.0,82
303/0039,310458.0,565886.0,75
303/0044,307666.0,569326.0,102
303/0046,309790.0,566208.0,150
303/0048,310195.0,567386.0,106
303/0049,305424.0,567059.0,76
303/0051,310504.0,567993.0,58
303/0055,309199.0,568595.0,70
303/0056,304536.0,567354.0,82
303/0058,305382.0,567186.0,73
304/0001,302135.0,579611.0,84
304/0010,304802.0,580327.0,82
304/0014,304010.0,575706.0,92
304/0016,303570.0,579980.0,71
304/0020,305330.1283,577566.6318,74
304/0023,304199.0105,573899.9501,81
304/0025,303434.0,576919.0,74
304/0032,304480.0,579318.0,73
304/0038,303808.0,577837.0,70
304/0040,302741.0,574365.0,102
304/0049,303312.0,576131.0,86
304/0051,302892.0,575027.0,104
304/0052,302942.0,577145.0,77
304/0056,303022.0,580728.0,69
305/0002,291220.0,581077.0,61
305/0007,292296.0,581145.0,78
305/0010,291484.0,580917.0,90
305/0013,294683.0,582866.0,61
305/0016,289951.0,581062.0,68
305/0021,285158.0,582302.0,76
305/0023,292465.0,582185.0,72
305/0026,292973.0,580106.0,70
305/0028,295689.0,581216.0,88
305/0029,294282.0,581465.0,70
305/0040,294134.0,580383.0,90
305/0041,296579.0,578608.0,76
305/0045,295997.0,578892.0,73
305/0053,287275.0,580685.0,97
305/0055,289490.0,580398.0,75
305/0058,292313.0,584561.0,88
306/0011,296226.0,583284.0,74
306/0028,293181.0,585950.0,73
306/0030,296168.0,583811.0,70
306/0035,295645.0,584200.0,72
306/0036,296033.0,585656.0,70
306/0037,298401.0,583634.0,95
306/0044,298380.0,588396.0,76
306/0046,298454.0,584829.0,78
306/0057,297631.0,589126.0,72
306/0062,292797.0,585317.0,89
306/0066,296033.0,585656.0,77
306/0075,296214.0,585140.0,72
306/0076,297491.0,582283.0,87
306/0079,296636.0,582594.0,91
307/0004,300544.0,588306.0,76
307/0006,306103.0,587840.0,72
307/0017,302717.0,586894.0,81
307/0018,302895.0,586502.0,88
307/0021,304461.0,589095.0,74
307/0022,304470.0,585992.0,72
307/0023,302153.0,588281.0,71
307/0025,305806.0,586548.0,78
307/0026,301165.0,587908.0,72
307/0027,301619.0,587422.0,110
307/0028,304267.0,586817.0,76
307/0029,305343.0,590122.0,57
307/0031,302538.0,590681.0,72
307/0035,305416.0,589952.0,72
307/0036,307310.0,586461.0,77
307/0037,304443.0,587947.0,73
307/0040,304461.0,590314.0,76
308/0001,305703.0,583669.0,75
308/0003,302302.0,583363.0,73
308/0010,302605.0,584136.0,80
308/0012,304853.0,583856.0,70
308/0016,303860.0,584985.0,54
308/0019,300921.0,584364.0,74
308/0022,301868.0,584521.0,77
308/0023,301816.0,583851.0,75
308/0024,301467.0,586149.0,74
308/0025,302301.1083,585940.8843,73
308/0029,301655.0533,581692.9378,74
308/0032,300321.0,583732.0,73
308/0033,304872.0,584965.0,77
308/0034,304026.0,581449.0,70
308/0035,304902.0,585098.0,75
308/0036,299935.0,582202.0,103
308/0038,299678.0,587386.0,90
308/0041,299482.0,585175.0,69
308/0044,304398.4629,580806.4627,78
308/0045,302737.0,584843.0,70
308/0047,303095.0,582782.0,83
308/0048,300629.0,582263.0,69
309/0002,328935.0,566853.0,100
309/0004,329547.0,567094.0,75
309/0009,331360.0,566702.0,75
309/0010,329239.0,566784.0,71
309/0013,327618.0,567454.0,76
309/0015,330568.0,566177.0,89
309/0022,328476.9442,567167.9805,90
309/0023,328001.0,566408.0,85
309/0025,330164.0,567034.0,77
309/0029,331565.0,565992.0,79
309/0031,331565.0,565992.0,74
309/0033,328513.0,566060.0,84
309/0034,328531.0,565860.0,92
309/0036,327297.0,565814.0,79
309/0040,331353.0,568115.0,88
309/0043,330004.0,568397.0,88
309/0044,330248.0,568508.0,91
309/0076,332682.0,570952.0,72
309/0078,330863.0,571178.0,79
309/0080,331909.2721,568189.1084,104
309/0097,327291.0,566338.0,81
309/0098,327298.0,566337.0,75
309/0104,326203.0,565982.0,94
309/0106,326203.0,565982.0,91
309/0109,327206.0,565475.0,50
309/0112,332349.0,570236.0,80
309/0126,330012.0,566270.0,111
309/0137,332726.3792,568927.3313,77
310/0002,330757.0,577391.0,76
310/0004,329778.0,574638.0,71
310/0005,331159.0,574475.0,70
310/0010,331116.0,574558.0,80
310/0015,330574.0,572994.0,56
310/0018,330504.0,573347.0,83
310/0019,330134.0,573118.0,88
310/0020,329141.6195,572314.7919,82
310/0022,329639.0118,575864.6882,102
310/0023,332665.0,572917.0,85
310/0024,329535.0,573692.0,61
310/0025,331592.0,572510.0,77
310/0026,333194.0,571979.0,72
310/0027,333974.8689,571790.5815,80
310/0028,333886.0,571153.0,77
310/0029,329022.0,576991.0,65
310/0037,332743.0,573480.0,74
310/0038,333242.0,575401.0,54
311/0003,325603.0,573437.0,59
311/0005,328047.0,573896.0,72
311/0006,326139.0,573943.0,89
311/0007,324177.0,573896.0,91
311/0010,328593.0,573205.0,70
311/0018,326126.0,569831.0,72
311/0019,326027.0,570242.0,73
311/0022,326645.0,570953.0,75
311/0023,326046.0,571331.0,90
311/0029,326118.0,572011.0,80
311/0030,328325.0,571413.0,107
311/0032,329816.0,569398.0,74
311/0033,330798.0,570430.0,118
311/0035,329538.0,571152.0,94
311/0036,327043.0,571692.0,89
311/0039,329297.0,569673.0,87
311/0040,330690.0,569846.0,64
311/0048,327167.0,572581.0,54
311/0051,327436.0,569022.0,76
311/0052,325030.0,572790.0,74
311/0053,328477.0,576288.0,74
311/0056,326920.0,575819.0,108
311/0059,328197.0,568915.0,70
311/0060,328327.0,568396.0,74
311/0062,328303.0,575270.0,71
311/0063,327487.0,575613.0,76
311/0071,327311.0,574157.0,77
311/0074,325660.082,574029.2786,96
311/0076,326188.0,572674.0,82
311/0082,327926.0,570518.0,91
311/0093,327055.0,569626.0,78
312/0001,327190.0,582283.0,72
312/0003,325707.0,580355.0,78
312/0005,325219.0,580675.0,58
312/0006,325496.0,580027.0,68
312/0008,322665.0,580988.0,69
312/0010,324406.0,578865.0,78
312/0012,323336.0,577819.0,69
312/0013,322924.0,577033.0,60
312/0017,324886.0,577672.0,60
312/0018,324768.0,577602.0,76
312/0021,326026.0,578587.0,89
312/0025,326734.0,579067.0,73
312/0027,325941.0,579169.0,94
312/0030,326551.5797,581029.1578,81
312/0031,326918.0,580838.0,59
312/0032,327934.0,578102.0,96
312/0033,327649.0,578387.0,101
312/0038,325900.0,578812.0,75
312/0039,331150.8136,577791.1385,70
312/0040,321804.0,578590.0,75
312/0041,320511.0,577623.0,95
312/0048,323760.0,573563.0,79
312/0052,322174.0,577398.0,93
312/0053,322822.0,576837.0,72
312/0054,319894.0,579529.0,90
312/0055,320510.0,577622.0,96
312/0056,329686.2677,578505.7972,75
312/0058,321320.0,576892.0,75
312/0060,321456.0,576881.0,81
312/0062,320876.0,576209.0,80
312/0063,320433.4189,576582.7193,76
312/0065,322616.8078,573986.9003,66
312/0069,322043.0,576135.0,92
312/0070,321504.0,575353.0,72
312/0071,320968.0,574347.0,76
312/0073,322195.0,574493.0,79
312/0074,322903.0,575367.0,80
312/0078,320111.5222,579023.5393,77
312/0080,323666.0,576920.0,68
312/0081,323327.0,575860.0,80
312/0082,322949.0,576366.0,76
312/0086,324915.0,576947.0,72
312/0091,323751.0,574607.0,97
312/0131,325629.0,580955.0,89
313/0005,340325.0,579685.0,84
313/0008,341168.0,580745.0,76
313/0009,342278.0,581196.0,95
313/0010,345164.0,580165.0,82
313/0011,339025.0,579270.0,83
313/0017,338182.0,578067.0,51
313/0028,342841.0,578806.0,73
313/0031,342638.0,578197.0,91
313/0033,343482.0,577739.0,73
313/0035,342527.0,576386.0,88
313/0036,341633.0,577882.0,72
313/0039,341176.0,575862.0,78
313/0050,339541.0,576963.0,90
313/0052,339740.0,578323.0,75
313/0055,339025.0,579270.0,94
313/0061,333988.0,574685.0,102
313/0064,333366.0,575087.0,80
313/0074,338638.0,574734.0,69
313/0081,338284.0,578389.0,78
313/0088,337661.0,576772.0,92
313/0090,336112.0,577727.0,85
313/0092,332857.0,577577.0,71
313/0093,332569.0994,579287.1694,58
313/0094,334602.0,578626.0,70
313/0095,339129.0,574099.0,76
313/0110,337889.0,579256.0,68
313/0113,339641.0,575297.0,98
313/0117,337482.0,575835.0,72
313/0118,335775.0,576831.0,79
313/0119,334339.0,575754.0,50
313/0120,336736.0,573736.0,71
313/0130,336196.0,576136.0,90
313/0136,336225.0,575151.0,51
313/0168,334378.0,579392.0,117
314/0001,322209.8832,595918.6164,69
314/0003,323705.0,602262.0,90
314/0012,325061.0,598291.0,69
314/0017,323750.0,605320.0,77
314/0023,323055.0,604546.0,73
314/0024,325267.0,599207.0,74
315/0001,341225.9272,588233.4476,68
315/0002,337221.0,587266.0,69
315/0005,336618.0,590091.0,59
315/0010,338010.0,591463.0,77
315/0011,338010.0,591463.0,72
315/0012,337530.0,592349.0,74
315/0013,339284.0,592855.0,102
315/0014,338799.0,597374.0,58
315/0015,338637.0,594739.0,74
315/0016,339783.437,599200.9122,99
315/0017,339062.0,596374.0,60
316/0005,336933.0,583673.0,71
316/0007,336686.0,581017.0,56
316/0010,335516.0,587768.0,72
316/0011,335517.0,587288.0,69
316/0013,331480.0,582822.0,76
316/0015,334038.0,584670.0,60
316/0016,332824.0,581274.0,57
316/0063,337873.2462,581376.7527,72
317/0002,332982.0,587165.0,72
317/0004,332929.0,590640.0,59
317/0005,330591.0,589770.0,93
317/0016,329062.7162,593440.5861,74
317/0017,329856.0,591419.0,80
317/0018,330184.8521,598355.9657,72
317/0019,329992.0,595440.0,72
317/0020,331839.0,596123.0,80
317/0021,331497.0,588354.0,70
317/0026,333058.0,588020.0,95
317/0029,328897.0,591422.0,72
318/0001,310765.0,590669.0,79
318/0002,311619.0,589431.0,75
318/0005,311957.0,590425.0,70
318/0007,313945.0,589787.0,70
318/0008,315231.0,589947.0,85
318/0011,318083.0,585369.0,73
318/0014,312142.0,584358.0,75
318/0019,315502.0,586318.0,55
318/0022,310553.0,585988.0,100
318/0024,311450.0,585880.0,91
318/0025,311186.0,585172.0,72
318/0026,312412.0,586534.0,75
318/0027,310697.0,588416.0,70
318/0028,310401.0,584650.0,74
318/0035,311423.0,588011.0,74
318/0038,311803.0,587063.0,70
318/0043,313776.0,586120.0,70
318/0045,315502.0,586318.0,94
319/0017,314147.0,584094.0,92
319/0023,313193.0,583086.0,76
319/0024,312758.0,582257.0,107
319/0025,312906.0,581920.0,71
319/0028,313704.0,581147.0,53
319/0036,313750.0,580454.0,78
319/0038,311661.0,578964.0,71
319/0039,311057.0,578252.0,72
319/0041,313811.0,584970.0,76
319/0054,310997.0,583197.0,88
319/0056,314183.0,581347.0,76
319/0058,313325.2754,584109.0728,79
319/0063,311352.0,581417.0,81
319/0065,310448.0,576759.0,77
319/0068,311375.7,581356.1251,79
319/0070,315680.0,582579.0,69
319/0072,311385.0,576701.0,73
319/0076,311659.0,582509.0,75
319/0077,317029.0,583363.0,75
319/0087,314079.0,582786.0,68
319/0102,314031.0,581596.0,88
320/0002,320522.0,575519.0,88
320/0010,318821.404,577179.1294,84
320/0011,319003.0,573700.0,65
320/0014,316733.0,575806.0,73
320/0016,319402.0,577477.0,69
320/0017,318768.0,572208.0,91
320/0018,318666.0,572701.0,74
320/0020,320128.0,572474.0,74
320/0021,316440.0,576355.0,50
320/0023,316432.0,574112.0,110
320/0024,319149.0,576062.0,78
320/0029,319251.0,574621.0,76
320/0030,318560.0,577846.0,61
320/0031,317184.0,574431.0,57
320/0032,318419.0,573013.0,74
320/0033,318038.0,575272.0,87
320/0034,319818.0,576331.0,97
320/0040,318175.5434,575982.731,109
320/0046,319092.1599,570785.1445,92
320/0049,316495.0,578398.0,71
320/0050,316495.0,578398.0,91
320/0054,317878.0,575033.0,72
320/0055,320013.0,574541.0,100
320/0056,317078.0,576815.0,92
320/0067,318038.0,575272.0,68
320/0068,319784.0,575071.0,93
320/0074,317523.0,576369.0,87
321/0002,316762.0,590471.0,90
321/0003,317162.0,591419.0,69
321/0004,318678.0,593890.0,77
321/0005,319716.0,582842.0,58
321/0012,318775.0,587779.0,70
321/0015,318476.0,586080.0,82
321/0018,319673.0,584309.0,50
321/0023,320829.0,583882.0,75
321/0028,320534.0,586123.0,73
321/0029,323002.0,587236.0,74
321/0030,324231.0,587507.0,65
321/0032,320156.0,589492.0,70
321/0033,319843.0,588040.0,68
321/0036,319225.0,587970.0,76
321/0045,319155.0,591203.0,68
321/0058,321415.3396,589682.3961,73
321/0062,317216.0,590073.0,74
321/0069,316925.0,591059.0,133
322/0018,307034.5785,589011.6708,106
322/0025,307691.0,597308.0,92
322/0028,309114.0,589629.0,83
322/0040,308863.0,592042.0,77
322/0042,309260.0,588238.0,70
322/0043,308728.0,598085.0,79
322/0044,306694.0,592157.0,71
322/0046,310727.0,595250.0,76
322/0047,309839.0,595723.0,99
322/0049,308122.0,594400.0,77
322/0050,309044.0,594109.0,76
322/0053,308863.0,592042.0,79
322/0054,309644.0,588910.0,93
322/0055,309212.0,590343.0,76
322/0056,309671.0,590321.0,79
322/0057,307567.0,591927.0,80
322/0058,307531.0,590608.0,74
322/0059,308011.0,589536.0,73
322/0064,307019.0,593436.0,53
322/0066,304344.0,596734.0,74
323/0011,313017.0,576200.0,93
323/0016,312492.0,576041.0,79
323/0017,314298.0,580090.0,70
323/0018,314260.0,577185.0,51
323/0019,314260.0,577185.0,75
323/0020,313868.0,578837.0,77
323/0024,315396.0,580333.0,53
323/0027,315094.0,579160.0,72
324/0003,318185.0,581407.0,69
324/0007,316948.0,579924.0,53
324/0012,315843.0,580323.0,71
324/0014,316052.9793,578423.6556,69
324/0019,323251.0,583770.0,77
324/0020,323547.0,584540.0,73
324/0022,323420.0,585411.0,79
324/0024,320993.0,582897.0,74
324/0025,320130.0,582491.0,70
324/0027,319247.0,582094.0,93
324/0029,319261.0,581227.0,90
324/0032,325141.0,582462.0,57
324/0033,319550.0,580010.0,100
324/0034,323841.0,586085.0,54
324/0037,317660.0,580660.0,68
325/0017,306307.2689,597080.6048,74
325/0020,310138.0,599235.0,77
325/0024,302966.0,601667.0,70
325/0029,308039.0,600093.0,90
325/0030,307767.0,599805.0,70
325/0037,306163.0,603893.0,52
325/0052,307694.0,602854.0,73
325/0053,307202.0,601306.0,72
325/0054,306606.0,598621.0,74
325/0055,307429.0,605470.0,76
326/0006,301757.5378,610873.6179,70
326/0011,310136.0,609258.0,94
326/0020,306734.0,611059.0,73
326/0023,307709.0,607356.0,76
326/0025,310367.5497,608773.7184,70
326/0026,307566.0,608010.0,70
326/0027,307058.9644,609332.1422,74
326/0031,310092.0,604750.0,81
326/0035,307538.0,609891.0,71
326/0042,313633.0,607189.0,75
326/0049,310802.0,602186.0,85
326/0056,314823.0,609352.0,95
326/0057,314431.0,609618.0,71
326/0059,307187.0,610946.0,76
326/0080,320144.0,615855.0,73
326/0088,309987.4991,607244.5815,71
326/0108,306820.7832,609121.545,89
326/0109,315242.4668,613336.2402,90
327/0009,313852.0,594083.0,61
327/0020,311004.0,597832.0,79
327/0022,310427.0,600105.0,71
327/0024,310890.0,593087.0,89
327/0025,312950.0,596637.0,75
327/0027,312132.0,596062.0,71
327/0029,313453.0,596255.0,75
327/0032,313345.5224,592475.9027,76
327/0035,315356.0,598185.0,68
328/0001,274266.0,614524.0,78
328/0004,277951.2358,612681.0582,93
328/0005,273960.0,612187.0,77
328/0008,275333.0,611470.0,87
328/0009,276116.489,613042.9234,91
328/0014,268671.0,611640.0,72
328/0020,276350.0,610636.0,83
328/0024,280557.0,616759.0,79
328/0029,276280.0,611267.0,124
328/0031,268506.0,613347.0,71
328/0032,277354.0,609734.0,79
328/0037,272716.0,612067.0,85
328/0041,278986.0,609191.0,76
329/0004,278659.0,609244.0,133
329/0005,274711.0,610875.0,68
329/0007,281816.0,607330.0,75
329/0009,282127.0,609336.0,71
329/0011,277527.0,608734.0,72
329/0017,280569.0,612525.0,76
329/0019,279059.0,612526.0,95
329/0020,278823.0,611713.0,90
329/0031,280466.0,606981.0,72
329/0034,274634.6459,607081.7001,92
329/0038,276058.0,609183.0,74
329/0042,278513.0,608212.0,69
329/0043,278803.0,609703.0,90
329/0046,281740.0,610536.0,82
329/0050,280569.0,612525.0,83
329/0059,279512.0,608699.0,76
329/0066,276374.0,611872.0,91
329/0067,283115.3538,606101.4769,97
330/0005,292259.0,590639.0,121
330/0009,287280.0,593914.0,90
330/0012,297237.0,592172.0,101
330/0017,288757.0,590280.0,79
330/0018,296507.0,596281.0,70
330/0019,291569.0,590897.0,96
330/0024,286545.0,593927.0,87
330/0029,288399.0,591610.0,78
330/0032,290201.0,592882.0,93
330/0034,287845.0,593419.0,75
330/0039,295751.0,597096.0,75
330/0046,290711.0,593303.0,91
330/0048,288822.0,592263.0,84
330/0053,290620.0,594027.0,69
330/0059,296062.0964,590974.7269,97
330/0063,293842.3932,591259.6681,70
330/0073,291612.0,591179.0,75
330/0088,292219.0,594965.0,74
330/0102,290311.3078,595713.5572,75
331/0003,288075.0,585190.0,72
331/0009,281518.0,584296.0,74
331/0011,283170.0,583861.0,70
331/0012,283916.0,584395.0,72
331/0013,287051.0,583405.0,73
331/0014,277128.0,582363.0,101
331/0021,290461.0,585902.0,91
331/0023,282206.0,585112.0,75
331/0026,284115.0,583977.0,109
331/0029,287627.0,584117.0,94
331/0033,286931.0,584166.0,84
331/0034,286944.0,584197.0,69
331/0039,288096.0,583213.0,91
331/0040,289560.0,584143.0,71
331/0051,290442.6841,584406.0414,71
331/0056,286592.0,584485.0,52
331/0064,282473.0,584369.0,60
331/0072,287973.0,584068.0,86
331/0078,288785.0,584744.0,95
331/0080,283170.0,583861.0,84
331/0085,287373.0,585001.0,71
331/0086,290509.3085,583421.9693,75
331/0090,288672.0,584664.0,75
331/0099,293110.0,582832.0,75
331/0104,288085.0,585353.0,91
331/0106,289902.0,584635.0,77
332/0001,284760.0,600005.0,69
332/0003,284760.0,600005.0,72
332/0004,287991.0,604490.0,79
332/0006,288692.0,604117.0,71
332/0008,282271.0,600125.0,75
332/0011,284005.0,601828.0,75
332/0016,283671.6019,602746.5245,88
332/0022,285447.0,603583.0,70
332/0023,286073.0,605055.0,86
332/0027,283326.0,601351.0,73
332/0029,289137.0,602411.0,76
332/0035,288481.0,605112.0,93
332/0036,288268.0,602121.0,73
332/0038,284329.0107,606385.3268,77
333/0001,285768.0,585691.0,88
333/0002,284827.0,585337.0,56
333/0006,276503.0,590308.0,77
333/0014,273477.0,590761.0,78
333/0019,274491.0,592780.0,70
333/0024,275106.0,587346.0,70
333/0025,273604.0,587041.0,72
333/0027,271662.0,594229.0,81
333/0028,276915.8448,584813.373,72
333/0030,283503.0,587740.0,70
333/0032,282201.0,589703.0,100
333/0034,278973.0,589847.0,72
333/0035,284162.0,586865.0,94
333/0036,284441.0,586201.0,77
333/0042,272470.0,589425.0,77
333/0045,283817.0,588313.0,77
333/0046,281843.0,589992.0,72
333/0047,283152.3512,589227.4491,87
333/0057,283776.0,590038.0,70
333/0058,271924.0,591686.0,77
333/0062,277283.0,591627.0,71
333/0065,276335.0,589110.0,79
333/0068,280453.5842,591206.5541,82
333/0070,286684.0,586258.0,111
333/0080,281145.0,588926.0,89
333/0095,282982.0,588248.0,71
333/0096,277612.0,591188.0,80
333/0114,281843.0,589992.0,109
334/0001,285508.0,594132.0,90
334/0002,287876.0,587305.0,72
334/0006,288603.0,587404.0,70
334/0009,286549.0,588831.0,55
334/0010,283853.3742,592437.3713,76
334/0012,286440.0,592693.0,72
334/0015,287602.0,590537.0,86
334/0019,287118.0,591336.0,74
334/0021,289202.0,588410.0,67
334/0023,286922.0,587189.0,77
334/0024,286549.0,588831.0,73
334/0025,286882.3275,587007.1826,98
334/0028,285424.0,592513.0,69
334/0031,286491.0,591824.0,79
334/0033,287823.0,586798.0,76
335/0007,290508.0,599250.0,78
335/0024,288948.0,595441.0,96
335/0046,288948.0,595441.0,75
335/0047,288244.0,597171.0,103
336/0004,281329.0,598845.0,70
336/0005,278496.3778,603100.0511,73
336/0007,276426.0,601907.0,77
336/0009,279992.9111,601129.3283,71
336/0017,284172.0,594696.0,77
336/0021,284433.0,597841.0,76
336/0023,279860.0,601809.0,74
336/0028,282859.0,597245.0,57
336/0030,270978.6828,602389.4462,76
337/0003,282142.0,593504.0,69
337/0005,276349.2241,597348.7163,78
337/0007,282507.0,592357.0,72
337/0013,281119.0,595904.0,90
337/0014,278393.0,594894.0,73
337/0022,277877.7064,595095.1175,69
337/0024,277855.0,594325.0,78
337/0028,280407.0,596836.0,74
337/0034,277372.0,595926.0,96
341/0019,223945.0,680758.0,132
343/0018,253212.0,673613.0,116
343/0025,253935.0,676300.0,149
343/0048,256161.0,672804.0,135
347/0005,238552.0,676882.0,128
348/0066,246190.1415,686485.3653,148
351/0003,369659.0,671874.0,94
351/0010,371512.0,670363.0,111
351/0011,368473.0,663257.0,105
351/0041,373617.0,672584.0,93
352/0003,372895.0,670437.0,138
352/0005,372239.0,664842.0,108
355/0012,365631.0543,664762.7933,104
356/0013,362579.273,666998.2357,104
358/0013,350144.7026,663905.2142,100
359/0003,353541.6114,660383.2779,102
361/0001,346055.0,664801.0,126
361/0019,349657.0,663561.0,118
364/0008,354921.0,665499.0,107
364/0023,349925.9486,665297.2355,100
370/0016,344772.3918,672077.4076,112
373/0027,340891.0,671379.0,132
390/0024,333796.0,713458.0,131
393/0019,317891.0,708328.0,144
394/0006,317291.0,688665.0,102
397/0008,316055.0,685660.0,117
411/0035,327251.0,696421.0,96
486/0024,307438.0,700250.0,109
486/0122,301183.0,696196.0,119
488/0038,310147.0,706331.0,128
489/0015,317420.0,699112.0,131
490/0002,272771.0,562641.0,75
490/0003,267963.7259,568202.0533,69
490/0005,269740.0,569047.0,70
490/0006,268796.0,563953.0,71
490/0012,272485.0,560278.0,83
490/0018,271575.0,561876.0,95
490/0026,270355.0,567783.0,95
490/0030,270638.0,562016.0,76
490/0032,262623.3833,565872.9625,73
490/0035,272762.0,560983.0,71
490/0038,271777.0,563280.0,85
490/0043,267982.0,564354.0,78
490/0045,268897.0,563286.0,72
490/0047,267092.0,563114.0,83
490/0048,267598.0,565720.0,112
490/0064,268913.0,565090.0,97
490/0067,268566.0,564611.0,77
490/0085,270879.2264,563427.0273,95
491/0003,275307.0,562876.0,103
491/0004,275307.0,562876.0,79
491/0006,276903.0,564311.0,71
491/0012,278607.0,564342.0,71
491/0015,274029.0,565020.0,94
491/0019,276273.0,569229.0,76
491/0020,275359.0,570945.0,77
491/0024,274944.0,568478.0,52
491/0029,272697.6486,566998.7258,128
491/0032,273564.0,564164.0,81
491/0033,274842.0,565025.0,72
491/0036,276398.0,562337.0,95
491/0041,278080.0,566739.0,106
491/0046,275092.0,567351.0,72
491/0052,276067.0,565940.0,72
491/0053,276121.0,567129.0,69
491/0057,278280.0,566644.0,85
491/0058,277788.0,565114.0,83
491/0073,277758.0,563666.0,77
491/0078,273926.0,565706.0,94
491/0090,273366.0,565984.0,94
491/0109,276402.0,565417.0,74
492/0002,274027.0,558339.0,74
492/0010,274878.0,560015.0,82
492/0011,278455.0,557181.0,51
492/0013,273921.0,557221.0,80
492/0015,275329.0,561040.0,76
492/0017,275467.0,557994.0,91
492/0018,274583.0,562081.0,147
492/0022,271871.0,556996.0,73
492/0023,271413.0,555731.0,97
492/0025,272720.0,558173.0,72
492/0026,276669.0,559315.0,74
492/0029,277294.0,557961.0,74
492/0030,275572.0,557858.0,90
492/0035,280029.0,555405.0,75
492/0039,274676.0,558555.0,72
492/0040,275467.0,557994.0,78
492/0048,274027.0,558339.0,95
492/0066,274103.0,554866.0,91
493/0003,280483.0,573745.0,78
493/0006,276625.0,572118.0,80
493/0008,281088.0,572068.0,71
493/0012,276501.0,571475.0,70
493/0014,276532.0,576732.0,71
493/0019,278080.0,567962.0,74
493/0021,277810.0,575652.0,70
493/0025,281049.0,570590.0,77
493/0031,278349.0,574454.0,76
493/0034,280248.0,571505.0,69
493/0038,280083.0,572827.0,74
493/0042,277132.0,570415.0,58
493/0043,281394.0,572131.0,70
493/0044,279834.0,569966.0,90
493/0047,278349.0,574454.0,73
493/0048,280252.5379,576845.3862,73
493/0049,276539.0,578470.0,50
493/0050,281706.0,580151.0,71
493/0052,280659.0,579994.0,71
493/0055,278703.0,568625.0,91
493/0058,277251.0,569096.0,69
493/0060,278185.9425,571050.0276,70
493/0063,278876.0,575663.0,94
493/0064,279993.0,570918.0,50
493/0065,282389.0209,572741.7286,93
493/0072,277801.0,578057.0,79
493/0077,278760.0,570277.0,95
493/0082,279267.0,568952.0,93
494/0001,257700.2156,556471.7289,79
494/0006,252992.0,552891.0,98
